time,spatial_ref,ET_mm_day
2004-04-29,0,2.5029175
2004-04-29,0,2.5029175
2004-04-30,0,3.2574062
2004-04-30,0,3.2574062
2004-05-01,0,2.6235802
2004-05-01,0,2.6235802
2004-05-02,0,2.9184923
2004-05-02,0,2.9184923
2004-05-03,0,3.168152
2004-05-03,0,3.168152
2004-05-04,0,3.1228688
2004-05-04,0,3.1228688
2004-05-05,0,3.0120566
2004-05-05,0,3.0120566
2004-05-06,0,3.0352857
2004-05-06,0,3.0352857
2004-05-07,0,3.3258731
2004-05-07,0,3.3258731
2004-05-08,0,2.3521895
2004-05-08,0,2.3521895
2004-05-09,0,2.3619583
2004-05-11,0,2.218866
2004-05-12,0,2.372873
2004-05-12,0,2.372873
2004-05-13,0,2.4244978
2004-05-13,0,2.4244978
2004-05-14,0,2.0681932
2004-05-14,0,2.0681932
2004-05-15,0,2.2791567
2004-05-15,0,2.2791567
2004-05-16,0,2.4890518
2004-05-16,0,2.4890518
2004-05-17,0,2.7580981
2004-05-17,0,2.7580981
2004-05-18,0,3.0603445
2004-05-18,0,3.0603445
2004-05-19,0,2.7390544
2004-05-19,0,2.7390544
2004-05-20,0,2.5879467
2004-05-20,0,2.5879467
2004-05-21,0,2.769925
2004-05-21,0,2.769925
2004-05-22,0,2.9627795
2004-05-22,0,2.9627795
2004-05-23,0,2.8170364
2004-05-23,0,2.8170364
2004-05-24,0,1.6245202
2004-05-24,0,1.6245202
2004-05-25,0,1.678883
2004-05-25,0,1.678883
2004-05-26,0,1.7083977
2004-05-26,0,1.7083977
2004-05-27,0,1.7287177
2004-05-27,0,1.7287177
2004-05-28,0,1.9107097
2004-05-28,0,1.9107097
2004-05-29,0,2.1228018
2004-05-29,0,2.1228018
2004-05-30,0,1.9473519
2004-05-30,0,1.9473519
2004-05-31,0,1.9057796
2004-05-31,0,1.9057796
2004-06-01,0,2.724503
2004-06-01,0,2.724503
2004-06-02,0,2.7467275
2004-06-02,0,2.7467275
2004-06-03,0,3.1374505
2004-06-03,0,3.1374505
2004-06-04,0,2.7154303
2004-06-04,0,2.7154303
2004-06-05,0,2.6760337
2004-06-05,0,2.6760337
2004-06-06,0,2.7437165
2004-06-06,0,2.7437165
2004-06-07,0,2.7180727
2004-06-07,0,2.7180727
2004-06-08,0,2.650821
2004-06-08,0,2.650821
2004-06-09,0,3.5679672
2004-06-09,0,3.5679672
2004-06-10,0,3.7159054
2004-06-10,0,3.7159054
2004-06-11,0,3.6737168
2004-06-11,0,3.6737168
2004-06-12,0,3.576164
2004-06-12,0,3.576164
2004-06-13,0,3.3720956
2004-06-15,0,3.8276606
2004-06-16,0,3.2620404
2004-06-16,0,3.2620404
2004-06-17,0,4.0928206
2004-06-17,0,4.0928206
2004-06-18,0,4.1286407
2004-06-18,0,4.1286407
2004-06-19,0,4.1703653
2004-06-19,0,4.1703653
2004-06-20,0,4.0936117
2004-06-20,0,4.0936117
2004-06-21,0,3.8595033
2004-06-21,0,3.8595033
2004-06-22,0,4.511531
2004-06-22,0,4.511531
2004-06-23,0,4.4874353
2004-06-23,0,4.4874353
2004-06-24,0,4.6036725
2004-06-24,0,4.6036725
2004-06-25,0,4.560484
2004-06-25,0,4.560484
2004-06-26,0,4.418096
2004-06-26,0,4.418096
2004-06-27,0,4.4933343
2004-06-27,0,4.4933343
2004-06-28,0,4.5277996
2004-06-30,0,4.1544323
2004-07-01,0,4.1662416
2004-07-01,0,4.1662416
2004-07-02,0,4.611476
2004-07-02,0,4.611476
2004-07-03,0,5.7915764
2004-07-03,0,5.7915764
2004-07-04,0,5.6304193
2004-07-04,0,5.6304193
2004-07-05,0,6.0376964
2004-07-05,0,6.0376964
2004-07-06,0,5.5092063
2004-07-06,0,5.5092063
2004-07-07,0,6.3311505
2004-07-07,0,6.3311505
2004-07-08,0,6.2588615
2004-07-08,0,6.2588615
2004-07-09,0,6.1316414
2004-07-09,0,6.1316414
2004-07-10,0,6.0834146
2004-07-12,0,4.341485
2004-07-13,0,3.9072819
2004-07-13,0,3.9072819
2004-07-14,0,4.0978856
2004-07-14,0,4.0978856
2004-07-15,0,4.1955137
2004-07-15,0,4.1955137
2004-07-16,0,4.1701336
2004-07-16,0,4.1701336
2004-07-17,0,4.0290494
2004-07-17,0,4.0290494
2004-07-18,0,4.283754
2004-07-20,0,4.767879
2004-07-21,0,4.8449855
2004-07-21,0,4.8449855
2004-07-22,0,4.458273
2004-07-22,0,4.458273
2004-07-23,0,4.639417
2004-07-23,0,4.639417
2004-07-24,0,4.828366
2004-07-24,0,4.828366
2004-07-25,0,5.1164436
2004-07-25,0,5.1164436
2004-07-26,0,4.371028
2004-07-26,0,4.371028
2004-07-27,0,4.3162165
2004-07-27,0,4.3162165
2004-07-28,0,4.1194944
2004-07-28,0,4.1194944
2004-07-29,0,4.0165806
2004-07-29,0,4.0165806
2004-07-30,0,4.1382256
2004-07-30,0,4.1382256
2004-07-31,0,4.3132973
2004-07-31,0,4.3132973
2004-08-01,0,4.552323
2004-08-01,0,4.552323
2004-08-02,0,4.529241
2004-08-02,0,4.529241
2004-08-03,0,4.557667
2004-08-03,0,4.557667
2004-08-04,0,4.539218
2004-08-04,0,4.539218
2004-08-05,0,4.7668686
2004-08-05,0,4.7668686
2004-08-06,0,4.642823
2004-08-06,0,4.642823
2004-08-07,0,4.3494086
2004-08-07,0,4.3494086
2004-08-08,0,4.3445745
2004-08-08,0,4.3445745
2004-08-09,0,4.1823344
2004-08-09,0,4.1823344
2004-08-10,0,3.8401608
2004-08-10,0,3.8401608
2004-08-11,0,3.94406
2004-08-11,0,3.94406
2004-08-12,0,4.593474
2004-08-12,0,4.593474
2004-08-13,0,4.709231
2004-08-13,0,4.709231
2004-08-14,0,4.8957343
2004-08-14,0,4.8957343
2004-08-15,0,5.026813
2004-08-15,0,5.026813
2004-08-16,0,5.049246
2004-08-16,0,5.049246
2004-08-17,0,5.121388
2004-08-17,0,5.121388
2004-08-18,0,5.170986
2004-08-18,0,5.170986
2004-08-19,0,5.143211
2004-08-19,0,5.143211
2004-08-20,0,3.7124794
2004-08-20,0,3.7124794
2004-08-21,0,3.5695975
2004-08-21,0,3.5695975
2004-08-22,0,3.7593393
2004-08-22,0,3.7593393
2004-08-23,0,3.672922
2004-08-23,0,3.672922
2004-08-24,0,3.8440163
2004-08-24,0,3.8440163
2004-08-25,0,3.4992113
2004-08-25,0,3.4992113
2004-08-26,0,3.4647691
2004-08-26,0,3.4647691
2004-08-27,0,3.330922
2004-08-27,0,3.330922
2004-08-28,0,3.890581
2004-08-28,0,3.890581
2004-08-29,0,3.7137287
2004-08-29,0,3.7137287
2004-08-30,0,4.217453
2004-08-30,0,4.217453
2004-08-31,0,4.092194
2004-08-31,0,4.092194
2004-09-01,0,4.194628
2004-09-01,0,4.194628
2004-09-02,0,4.1781383
2004-09-02,0,4.1781383
2004-09-03,0,4.0154595
2004-09-03,0,4.0154595
2004-09-04,0,4.33333
2004-09-04,0,4.33333
2004-09-05,0,2.2271547
2004-09-05,0,2.2271547
2004-09-06,0,2.1862633
2004-09-06,0,2.1862633
2004-09-07,0,2.1706758
2004-09-07,0,2.1706758
2004-09-08,0,2.0854385
2004-09-08,0,2.0854385
2004-09-09,0,2.0795023
2004-09-09,0,2.0795023
2004-09-10,0,1.8774533
2004-09-10,0,1.8774533
2004-09-11,0,1.9333718
2004-09-11,0,1.9333718
2004-09-12,0,1.9969825
2004-09-12,0,1.9969825
2004-09-13,0,0.8692426
2004-09-13,0,0.8692426
2004-09-14,0,0.9073694
2004-09-16,0,1.0461185
2004-09-17,0,1.0734653
2004-09-17,0,1.0734653
2004-09-18,0,0.95055157
2004-09-18,0,0.95055157
2004-09-19,0,0.9402829
2004-09-19,0,0.9402829
2004-09-20,0,1.0817553
2004-09-20,0,1.0817553
2004-09-21,0,1.5805308
2004-09-21,0,1.5805308
2004-09-22,0,1.5629091
2004-09-22,0,1.5629091
2004-09-23,0,1.4837879
2004-09-23,0,1.4837879
2004-09-24,0,1.3382673
2004-09-24,0,1.3382673
2004-09-25,0,1.3937398
2004-09-25,0,1.3937398
2004-09-26,0,1.3592409
2004-09-26,0,1.3592409
2004-09-27,0,1.3379718
2004-09-27,0,1.3379718
2004-09-28,0,1.3110231
2004-09-28,0,1.3110231
2004-09-29,0,0.5951702
2004-09-29,0,0.5951702
2004-09-30,0,0.58000886
2004-09-30,0,0.58000886
2004-10-01,0,0.6003469
