time,ET_cap_m3_day,ET_no_cap_m3_day,ET_m3_day,ET_cap_m_day,ET_no_cap_m_day,SSEBop_ET_m_day
2004-02-23,3770210970.7473707,3795547035.2880135,197255000.0,1.8409233255602395,1.8532944508242253,0.09582541442530275
2004-02-24,4686331829.540855,4963942006.343011,245284020.0,2.2882479636429958,2.423799807784673,0.11915765313124761
2004-02-25,2514717557.149533,3065246011.2746406,229700020.0,1.2278894322019203,1.4967021539426957,0.11158703003726309
2004-02-26,1493962392.7291238,1788968439.4087467,260710020.0,0.7294738245747675,0.8735197458050521,0.12665152067794969
2004-02-27,2241702004.0863543,2622107306.3488016,315024000.0,1.0945810566827903,1.2803258331781258,0.1530369590323012
2004-02-28,2069063464.2399564,2416011040.8518696,338866020.0,1.0102848946484162,1.1796928910409519,0.16461928367419293
2004-02-29,5383414242.615219,5558355829.095,267753020.0,2.6286202356519626,2.714040932175293,0.13007297206725493
2004-03-01,3461789785.7560945,4066311749.3639526,282263040.0,1.690327043826218,1.9855037838691174,0.13712186147345215
2004-03-02,2037402507.0658016,2369527984.738187,335439040.0,0.9948254429032235,1.1569960862979427,0.16295447528542092
2004-03-03,8908849227.251219,8965715075.300278,388231040.0,4.3500240367437595,4.377790564111463,0.18860054396981718
2004-03-04,7963228640.724363,7785457531.799004,393409000.0,3.888295234728693,3.8014929354487323,0.19111596899264366
2004-03-05,4006338057.290773,4085424648.8758354,3512246000.0,1.9562197545365103,1.994836254333904,1.706230151395969
2004-03-06,4096123200.0075045,4206745900.221816,4293232400.0,2.000060156253664,2.0540751465926834,2.08562912957409
2004-03-07,3118631824.2122808,3358651512.6503377,3854987300.0,1.5227694454161527,1.6399665589112977,1.8727320251794828
2004-03-08,3540311215.9911814,3735916364.2142544,4103714300.0,1.7286675859331941,1.8241779122139914,1.9935622594131512
2004-03-09,3248564491.401082,3463856218.7191753,3952839200.0,1.5862131305669347,1.6913360442964724,1.920267950098006
2004-03-10,3908010654.5870266,4155985608.27291,3947798300.0,1.9082083274350716,2.029289847789507,1.917819108083474
2004-03-11,3259814910.3226733,3413728049.892787,3905845200.0,1.5917064991809928,1.6668593993617125,1.8974385185221134
2004-03-12,2675752287.321662,2816747452.246901,4542734300.0,1.3065196715437803,1.3753649669174322,2.2068358060456648
2004-03-13,5694387784.471536,5719284910.152447,1746798000.0,2.780462785386492,2.7926195850353746,0.8485850410245114
2004-03-14,3716049461.4007845,3845960172.179559,1726712000.0,1.8144772760746017,1.8779102403220505,0.8388273706275803
2004-03-15,2763532365.057437,2876801184.3979177,1759867000.0,1.3493810376257016,1.4046880783192959,0.8549338906918165
2004-03-16,2323649302.720163,2451430318.0335174,1779158000.0,1.1345943860938295,1.1969874599773034,0.8643053543793201
2004-03-17,4677418580.903517,4876266318.825819,1790444200.0,2.2838957914567954,2.3809894134891696,0.8697881294283016
2004-03-18,4894005345.571153,5084512078.195247,1752080300.0,2.389651047642164,2.4826719131812727,0.8511511538562204
2004-03-19,5641942634.701809,5791849857.991198,1808426000.0,2.7548548021004926,2.8280516884722644,0.8785235908214877
2004-03-20,5979044120.31857,6130998028.043913,2275919000.0,2.919455136874302,2.993651380880817,1.105629167186741
2004-03-21,5397472369.031725,5642340704.718278,1463202200.0,2.635484555191272,2.7550491722257218,0.7108157319358936
2004-03-23,5800323366.487829,5977258081.141558,1895966100.0,2.832189143792885,2.918583047432401,0.9210500989522444
2004-03-24,5407705530.93926,5517061502.736463,1680638000.0,2.6404812162789355,2.6938776868830385,0.8164448700864969
2004-03-25,6136527534.907652,6228144478.903297,1694326100.0,2.996351335404127,3.0410861713395008,0.8230944751925525
2004-03-26,6041100392.643455,6040152943.577826,1679405000.0,2.9497560510954366,2.94929342948136,0.815845885340932
2004-03-27,7772149457.176666,7691065601.70245,1996951000.0,3.794994852137044,3.755403125831274,0.970108018362134
2004-03-28,8489737440.2342415,8569965412.158539,1963257100.0,4.145379609489376,4.184553423905537,0.9537397035863123
2004-03-29,5026107093.378665,5232924754.861128,4593927000.0,2.4541538541888013,2.555139040459535,2.2317049434213976
2004-03-30,4608046294.505014,4758255185.417076,4126373000.0,2.2500226047387764,2.3233667897544317,2.004569733585358
2004-03-31,5068162990.793877,5214355995.394163,4601773600.0,2.4746889603485727,2.546072263376056,2.2355167793537163
2004-04-01,5880369340.574179,5978991050.479041,4545512000.0,2.8712740920772357,2.9194292238667194,2.208185197714566
2004-04-02,7329022673.739598,7269231913.515539,4309153300.0,3.578624352411913,3.5494296452712595,2.093363416869843
2004-04-03,6003236270.794716,5821422272.016459,4494548500.0,2.9312677103489824,2.842491343758037,2.183427404461853
2004-04-04,5014434887.885107,4767690509.597965,4029102000.0,2.44845453510015,2.3279738816396316,1.9573160067517485
2004-04-05,3995438772.449605,3780684519.4475126,4084400400.0,1.9508978381101587,1.8460373630114808,1.9841796710292379
2004-04-06,4429994626.3019905,4155956063.960016,6713216500.0,2.1630833136240186,2.0292754218554765,3.2612443448291826
2004-04-07,7419662919.753992,7368760724.567104,6168839000.0,3.622882285036129,3.5980276975425314,2.996788693305468
2004-04-08,6923923650.043594,6958244486.708916,6260461600.0,3.380822094747849,3.397580315775838,3.0412984579031908
2004-04-09,8045785939.483679,8080623336.85779,6551459000.0,3.928606415763515,3.9456168637000926,3.1826634243257685
2004-04-10,7997050634.054108,7964193800.955408,6757507600.0,3.9048098799092323,3.8887665043727577,3.282760722172482
2004-04-12,4893728064.981054,4955147533.7377205,5911378400.0,2.3895156567290305,2.4195056317078714,2.8717157233265724
