time,ET_cap_m3_day,ET_no_cap_m3_day,ET_m3_day
2004-06-19,622098879.9793112,598266664.9143548,9437537000.0
2004-06-20,471846524.3917083,508731165.64747083,9263844000.0
2004-06-21,633772750.0685191,658057284.6293963,8734056000.0
2004-06-22,672204125.1678478,708744275.5699099,10209595000.0
2004-06-23,484433292.6480015,547893957.0186003,10155066000.0
2004-06-24,461405189.87312996,518503875.39709365,10418111000.0
2004-06-25,566245169.8756018,599513923.3895849,10320375000.0
2004-06-26,535975074.3944671,538708021.043566,9998151000.0
2004-06-27,502827383.2377566,486479364.3132957,10168416000.0
2004-06-28,484226535.4534836,456987728.5388938,10246410000.0
2004-06-30,520330964.3777461,544704792.0012214,9401480000.0
2004-07-01,639662154.2911392,659714909.0376143,9428205000.0
2004-07-02,606399727.8543396,652931836.1256893,10435770000.0
2004-07-03,654897696.247523,713087458.5236927,13106338000.0
2004-07-04,677356768.9877884,743849684.0956184,12741639000.0
2004-07-05,690038837.8305299,744888513.8038503,13663307000.0
2004-07-06,752980352.0391921,786493486.1905283,12467334000.0
2004-07-07,705725126.5038431,752340242.8228154,14327394000.0
2004-07-08,715656907.36603,777928668.2970227,14163804000.0
2004-07-09,708165099.5669594,759335827.0521481,13875905000.0
2004-07-10,658099572.713499,690521576.3600845,13766768000.0
2004-07-12,622448398.0789288,601095943.6645795,9824780000.0
2004-07-13,562728477.1950356,518059383.1586824,8842179000.0
2004-07-14,491890125.64456487,428255289.0772837,9273516000.0
2004-07-15,473091843.38009775,388485463.1946187,9494447000.0
2004-07-16,450805068.1594472,353042567.9513372,9437013000.0
2004-07-17,546662281.675523,418637639.46349365,9117738000.0
2004-07-18,458335061.8623123,336396741.1893106,9694135000.0
2004-07-20,477752742.462979,288288546.1577763,10789710000.0
2004-07-21,491272533.0534996,265552229.90220553,10964202000.0
2004-07-22,492620454.6335318,247022435.2898705,10089071000.0
2004-07-23,506526111.9646751,266550195.67926162,10499001000.0
2004-07-24,581942142.329326,541903127.2271723,10926592000.0
2004-07-25,290784277.4504794,243171013.82500365,11578512000.0
2004-07-26,431864650.8953977,374539378.2795458,9891637000.0
2004-07-27,439170486.20592046,321423566.2632267,9767598000.0
2004-07-28,650720454.5314506,629143215.0672927,9322416000.0
2004-07-29,384585967.9616127,401777803.6231996,9089521000.0
2004-07-30,475675950.7037779,524377506.4115447,9364805000.0
2004-07-31,524828199.2591058,579361872.6662993,9760991000.0
2004-08-01,513088975.581242,548948737.8990533,10301906000.0
2004-08-02,498085859.43882096,499603231.4734844,10249673000.0
2004-08-03,543300007.1482463,509992433.481474,10314000000.0
2004-08-04,595662652.8731498,605786781.4515897,10272250000.0
2004-08-05,577007782.6844356,593725205.0329232,10787424000.0
2004-08-06,548819225.0310731,538147295.2527003,10506709000.0
2004-08-07,396673100.2196519,370581732.1779148,9842712000.0
2004-08-08,533635557.79009825,509898360.9595964,9831772000.0
2004-08-09,463645767.75918084,435056377.13122326,9464623000.0
2004-08-10,449619866.01489484,398997620.4878075,8690284000.0
2004-08-11,653107745.756849,671299754.041663,8925408000.0
2004-08-12,506253914.55835646,554734779.5573094,10395031000.0
2004-08-13,597791074.6632439,635767088.5760993,10656989000.0
2004-08-14,503725528.51892173,545472348.8115634,11079047000.0
2004-08-15,514304391.52019364,542764089.7529078,11375678000.0
2004-08-16,556771665.0873234,601000027.267965,11426443000.0
2004-08-17,508700749.04977494,548699652.9977472,11589701000.0
2004-08-18,548584086.5179037,574993561.9443719,11701941000.0
2004-08-19,511411913.2678978,517922969.6756606,11639086000.0
2004-08-20,477223508.0346797,487719387.7264614,8401341000.0
2004-08-21,437056576.33514637,460425182.87704647,8077999000.0
2004-08-22,552077265.8688577,552401339.7210009,8507385000.0
2004-08-23,608667567.8161298,578083955.8330919,8311822300.0
2004-08-24,597770040.559669,535887430.7961165,8699009000.0
2004-08-25,539412933.1662997,452505733.56032616,7918715400.0
2004-08-26,606455845.0400938,480544313.2297693,7840772600.0
2004-08-27,583182155.428772,433385139.4293193,7537876000.0
2004-08-28,674970302.9763752,676878144.8481228,8804385000.0
2004-08-29,502905521.7329989,544809496.5342424,8404168000.0
2004-08-30,433202667.50444543,465571649.31518096,9544097000.0
2004-08-31,429009883.0831416,452423650.48309153,9260635000.0
2004-09-01,410939022.3729057,409585930.2294495,9492442000.0
2004-09-02,445308847.8007527,404519395.2720416,9455127000.0
2004-09-03,483337359.568464,407155771.5017795,9086985000.0
2004-09-04,501758932.8029535,399970492.01974005,9806326000.0
2004-09-05,502225867.92889726,388749109.6855835,5040051700.0
2004-09-06,530041455.7161466,496850857.4132267,4947514000.0
2004-09-07,395686157.6840914,349300879.3222627,4912239600.0
2004-09-08,350715726.6560967,290776658.1491405,4719347000.0
2004-09-09,313398391.1905935,241972831.10966188,4705914000.0
2004-09-10,323447123.005225,229453517.22709668,4248677000.0
2004-09-11,364487751.4268728,244980731.83447316,4375220000.0
2004-09-12,385339674.4884096,243279537.5495345,4519171600.0
2004-09-13,405088528.8155042,242987333.2057872,1967096000.0
2004-09-14,485246337.66024166,280232798.50951475,2053377000.0
2004-09-16,376898691.4848724,197167718.44225973,2367366100.0
2004-09-17,362201733.62134653,168227495.48264518,2429252400.0
2004-09-18,385848472.0707344,158572555.98664856,2151098400.0
2004-09-19,415761674.9129126,152412537.3829306,2127860000.0
2004-09-20,371637117.3392464,108929254.08784668,2448012300.0
2004-09-21,426554402.1871553,114593626.7296028,3576741400.0
2004-09-22,386314800.2496754,93246396.91243874,3536863200.0
2004-09-23,512264917.03999215,439528630.67105925,3357812000.0
2004-09-24,332416554.1947223,293942179.6222374,3028499000.0
2004-09-25,334868117.49351513,255738616.38967708,3154033200.0
2004-09-26,311819449.1863889,195259824.95528746,3075962400.0
2004-09-27,277246179.08619887,131107390.91069183,3027830000.0
2004-09-28,263328175.65523916,93049436.44191407,2966845200.0
2004-09-29,270535047.89463997,91861439.66242023,1346870100.0
2004-09-30,11310618.066131933,3102697.444495034,1312560000.0
