time,ET_cap_m3_day,ET_no_cap_m3_day,ET_cap_m_day,ET_no_cap_m_day,ET_mm_day,SSEBop_ET_m_day
2004-01-09,305304.4204530994,251799.3943530701,0.00014907442404936495,0.00012294892302396,0.005035793,5.035793e-06
2004-01-10,309661.0033523453,251008.0960333631,0.00015120166179313736,0.00012256254689129058,0.0047565177,4.7565176999999995e-06
2004-01-11,481116.73746873514,375448.1876946489,0.00023492028196715582,0.0001833243103977778,0.0056394166,5.6394166e-06
2004-01-12,440320.7504720472,335365.6214015264,0.0002150003664414293,0.00016375274482496405,0.005055678,5.055678e-06
2004-01-13,155769.3589799081,136333.6024007615,7.605925731440825e-05,6.656914179724683e-05,0.0050388863,5.0388863e-06
2004-01-14,373737.2139174322,324447.6409704762,0.0001824888739831212,0.00015842169969261532,0.0053009284,5.3009284e-06
2004-01-15,415099.26663365803,350768.049219648,0.00020268518878596584,0.00017127346153303125,0.0043950514,4.3950513999999995e-06
2004-01-16,50744.93181424499,42135.40353431241,2.4777798737424312e-05,2.0573927506988484e-05,0.004779938,4.779938e-06
2004-01-17,45886.74386831264,50950.16927036417,2.240563665444953e-05,2.4878012339045002e-05,0.1077141,0.0001077141
2004-01-18,636939.0051449809,840380.1396633793,0.00031100537360594766,0.00041034186507000943,0.09594786,9.594786e-05
2004-01-19,329549.1011038634,434189.4323456852,0.0001609126470233708,0.0002120065587625416,0.11700001,0.00011700001
2004-01-20,408583.3624780656,518312.04811914416,0.00019950359495999297,0.0002530820547456759,0.12059215,0.00012059215
2004-01-21,400739.90132994036,470719.8053671484,0.00019567377994625994,0.00022984365496442794,0.09751702,9.751702e-05
2004-01-22,410713.7918973137,487896.34631029353,0.00020054384369986021,0.00023823063784682302,0.13583297,0.00013583297
2004-01-23,459327.2426216243,542586.715754063,0.00022428088018634,0.0002649349198017886,0.085430846,8.543084600000001e-05
2004-01-24,245237.24359684216,241455.34928429403,0.00011974474785002058,0.00011789811976772169,0.1003111,0.0001003111
2004-01-25,364514.96868651774,416825.4490757466,0.00017798582455396373,0.0002035280513065169,0.6727937,0.0006727937
2004-01-26,421020.97674242023,594468.639124796,0.00020557664880000988,0.0002902678901976543,0.78030366,0.00078030366
2004-01-27,312163.3839642723,422277.7569626352,0.00015242352732630483,0.00020619031101691172,0.7680235,0.0007680235
2004-01-28,504812.7145059075,628900.092934996,0.00024649058325483764,0.00030708012350341604,0.78387934,0.0007838793400000001
2004-01-29,430849.24739488703,528344.2859723353,0.0002103756090795347,0.00025798060838492934,0.6229687,0.0006229687
2004-01-30,396006.9599855246,539395.4579876435,0.00019336277343043193,0.0002633766884705291,0.7179271,0.0007179271000000001
2004-01-31,368998.7173987148,459988.87761589367,0.00018017515497984122,0.0002246039441483856,0.5876633,0.0005876633
2004-02-01,149147.112528107,177748.82951650477,7.282573853911475e-05,8.679142066235585e-05,0.50387144,0.0005038714399999999
2004-02-02,413557.6949825812,527406.9823529405,0.00020193246825321348,0.0002575229406020217,0.04367477,4.367477e-05
2004-02-03,350264.22971914546,443146.90556821553,0.0001710274559175515,0.00021638032498448023,0.053965535,5.3965535e-05
2004-02-04,220361.63685483276,296199.97729224706,0.00010759845549552381,0.00014462889516223,0.03734644,3.734644e-05
2004-02-05,241137.73108547466,292248.53921010054,0.00011774303275657942,0.0001426994820361819,0.049816176,4.9816175999999993e-05
2004-02-06,275824.3344014162,357782.3709763965,0.0001346798507819415,0.0001746984233283186,0.048383564,4.8383564e-05
2004-02-07,302308.01479451696,371380.2512617014,0.00014761133534888524,0.00018133801331137763,0.041786566,4.1786566e-05
2004-02-08,479650.0403926167,589252.9993066905,0.00023420412128545738,0.00028772119106772,0.04765754,4.765754e-05
2004-02-09,344123.94143688574,404772.90346949897,0.00016802926827972936,0.0001976430192722163,0.042475477,4.2475477e-05
2004-02-10,426566.96966993966,523245.67795130546,0.00020828465315915023,0.0002554910536871609,0.5220482,0.0005220482
2004-02-11,163847.2102454659,198253.4409721709,8.000352062766889e-05,9.680343797469282e-05,0.5450552,0.0005450552
2004-02-13,221320.54609370683,282011.4385549686,0.00010806667289731779,0.00013770089773191828,0.8347428,0.0008347428
2004-02-14,190570.06897300034,229142.61422652256,9.305179149072282e-05,0.00011188604210279423,0.8011141,0.0008011141
2004-02-15,276424.33753650554,330831.4267714881,0.00013497282106274684,0.00016153878260326566,0.63747245,0.00063747245
2004-02-16,373126.0622299812,434985.7003374518,0.000182190460073233,0.0002123953614928964,0.6008957,0.0006008957000000001
2004-02-17,467684.04196435463,541190.6200555575,0.00022836134861540754,0.0002642532324490027,0.5725351,0.0005725350999999999
2004-02-18,751030.2633843811,870976.2000585322,0.0003667139957931548,0.00042528134768483015,0.13421741,0.00013421741000000002
2004-02-19,1024405.9097032059,1141763.65491889,0.0005001981980972685,0.0005575017846283642,0.121527635,0.000121527635
2004-02-20,895363.7794710372,1072326.6147826873,0.0004371893454448424,0.000523596979874359,0.10321963,0.00010321963
2004-02-21,710018.0854541694,834196.2411263916,0.0003466885182881687,0.0004073223833624959,0.10315467,0.00010315467
2004-02-22,1017361.9623224344,1131914.423187628,0.0004967587706652512,0.0005526925894470839,0.11815466,0.00011815466
2004-02-23,256591.34540828093,292560.58919278905,0.00012528874287513718,0.00014285185019179153,0.08716527,8.716527e-05
2004-02-24,450543.98018640204,571450.8295318226,0.0002199921778253916,0.00027902872535733524,0.10838887,0.00010838887
2004-02-25,857494.473412888,1070125.2997806498,0.0004186984733461367,0.0005225221190335204,0.10150243,0.00010150243000000001
2004-02-26,560562.0504005132,667376.9741584578,0.0002737119386721256,0.0003258676631633095,0.11520549,0.00011520549
2004-02-27,884900.2994674474,1034239.9660461036,0.00043208022434933956,0.0005049999834209491,0.13920636,0.00013920636
2004-02-28,774432.924687701,906148.4625123811,0.00037814107650766655,0.0004424553039611236,0.14974195,0.00014974195
2004-02-29,710548.7707007136,796649.8232875086,0.00034694764194370784,0.0003889891715271038,0.11831773,0.00011831773
2004-03-01,1298739.7104270463,1525134.0263045235,0.0006341502492319562,0.0007446943487815056,0.124729574,0.000124729574
2004-03-02,765517.9679224633,893774.0282272251,0.0003737880702746403,0.00043641309972032474,0.14822759,0.00014822759
2004-03-03,241639.24253622908,285083.7832080732,0.00011798791139464311,0.00013920106601956697,0.1715559,0.0001715559
2004-03-04,-36311.74919290977,-60151.56674060644,-1.7730346285600473e-05,-2.937088219756174e-05,0.17384401,0.00017384401
2004-03-05,1015408.5516458885,1049050.319370302,0.0004958049568583439,0.0005122316012550302,1.5520309,0.0015520309000000001
2004-03-06,941631.2138431221,987939.6961204797,0.00045978086613433696,0.000482392429746328,1.897142,0.001897142
2004-03-07,1187177.3655319468,1279519.0976137405,0.0005796764480136459,0.0006247651843817092,1.7034854,0.0017034854
2004-03-08,1364751.3488744749,1437846.6216488606,0.0006663824945676147,0.0007020735457269827,1.8133956,0.0018133956
2004-03-09,1230540.28850452,1313391.8200000254,0.0006008497502463477,0.0006413045996093874,1.7467253,0.0017467253
2004-03-10,1529796.9067994857,1626492.6947892425,0.0007469711458981864,0.0007941858861275598,1.7444978,0.0017444978
2004-03-11,929983.8870273265,988247.4648858907,0.00045409369483756176,0.00048254270746381385,1.725959,0.001725959
2004-03-12,1035978.758104575,1090715.915277748,0.0005058490029807495,0.0005325761305067128,2.0073948,0.0020073948000000003
2004-03-13,271570.45809339004,290310.0593699244,0.0001326027627409131,0.00014175295867672091,0.7718948,0.0007718948
2004-03-14,1128843.3528030177,1179867.843863116,0.0005511930433608485,0.0005761073456362871,0.763019,0.000763019
2004-03-15,1046709.5539700562,1089718.7232762026,0.0005110886493994415,0.0005320892203497083,0.7776699,0.0007776699
2004-03-16,898675.9748668692,947921.5840945691,0.00043880662835296344,0.0004628523359836763,0.78619444,0.00078619444
2004-03-17,1820713.6237580758,1895560.4698375708,0.0008890203241006229,0.0009255666356628763,0.7911817,0.0007911817
2004-03-18,1883575.6735481464,1957148.2003894118,0.0009197146843496808,0.0009556387697213925,0.774229,0.000774229
2004-03-19,2185953.474320994,2242737.463594555,0.0010673600948832979,0.0010950866521457787,0.7991277,0.0007991277
2004-03-20,2300179.000325922,2361268.291780782,0.0011231342775028916,0.001152963033096085,1.0057088,0.0010057088
2004-03-21,2000041.654181934,2092422.4992618526,0.0009765828389560224,0.0010216906734677015,0.6465763,0.0006465763
2004-03-23,2255552.3165974324,2322034.3825859516,0.00110134390458859,0.0011338058508720467,0.8378109,0.0008378109
2004-03-24,2060668.5735102925,2101295.4799592253,0.0010061858269093224,0.0010260231835738404,0.7426593,0.0007426593
2004-03-25,2361370.492951614,2395632.454654615,0.0011530129360115301,0.0011697424094993236,0.748708,0.0007487080000000001
2004-03-26,2254462.476259895,2252531.797482779,0.001100811755986277,0.001099869041739638,0.7421145,0.0007421145
2004-03-27,1727407.068907882,1699995.2506701325,0.0008434604828651767,0.0008300758059912756,0.88243526,0.00088243526
2004-03-28,1915342.2700713954,1956373.5991476187,0.0009352257178082985,0.0009552605464587982,0.8675462,0.0008675462
2004-03-29,1910553.1302038203,1989020.5414936822,0.0009328872706073341,0.000971201436276212,2.0300162,0.0020300162
2004-03-30,1758099.3023536713,1814510.3044281977,0.0008584469249773786,0.0008859913595840809,1.8234084,0.0018234084
2004-03-31,1938902.1272678466,1993896.0386145238,0.0009467295543300032,0.000973582050104748,2.0334835,0.0020334835
2004-04-01,2272485.8891586647,2307487.8016832843,0.0011096122505657542,0.0011267030281656661,2.0086222,0.0020086222
2004-04-02,2826888.1935569826,2800007.1716738488,0.0013803165007602455,0.0013671910017938715,1.9041773,0.0019041773
2004-04-03,2277780.2785741477,2206317.431175245,0.001112197401647533,0.0010773034331910377,1.9861017,0.0019861017
2004-04-04,1896032.1592837544,1801316.933488023,0.0009257969527752707,0.0008795492839296987,1.7804251,0.0017804251
2004-04-05,1430645.537566446,1350909.8018961744,0.0006985573913898662,0.0006596239267071164,1.804861,0.001804861
2004-04-06,1613877.409209136,1504539.0207838581,0.0007880260787153984,0.0007346381937421182,2.966512,0.0029665119999999997
2004-04-07,1331094.0565704836,1327145.828295583,0.0006499482698098065,0.0006480204239724525,2.7259562,0.0027259562000000004
2004-04-08,2681432.1657265737,2690920.459267744,0.0013092930496711786,0.0013139260055018281,2.7664435,0.0027664434999999997
2004-04-09,2156736.5004123366,2174854.3207525713,0.0010530939943419612,0.0010619405863049665,2.8950326,0.0028950326
2004-04-10,1187068.796730245,1180463.002705954,0.0005796234359034399,0.0005763979505400166,2.9860837,0.0029860837
2004-04-12,1880292.2890096875,1901675.068614781,0.0009181114692430115,0.000928552279597061,2.6121867,0.0026121867
2004-04-13,1779066.9546025053,1784208.2180519563,0.0008686850364270045,0.0008711954189706818,2.6898313,0.0026898313
2004-04-14,2352444.9209200693,2305216.9947394994,0.0011486547465430026,0.0011255942357126462,2.1624167,0.0021624167
2004-04-15,3472567.897667551,3305685.3196785897,0.001695589793782984,0.0016141041599993114,2.1404402,0.0021404402
2004-04-16,3394231.0544045726,3083584.058138109,0.0016573393820334826,0.0015056562783877484,2.0037513,0.0020037513
2004-04-17,3737919.604987373,3234676.903874194,0.0018251560571227409,0.001579432081969821,2.062932,0.002062932
2004-04-18,3550766.5137201915,2957709.103496594,0.0017337727117774373,0.0014441938981916962,2.1443002,0.0021443002
2004-04-19,3141695.986266671,2555451.5612849295,0.0015340312432942731,0.001247779082658657,2.3034167,0.0023034167
2004-04-21,3478848.3047365253,3072270.254808501,0.0016986563987971314,0.0015001319603557134,2.346287,0.002346287
2004-04-22,3477758.13952652,2900514.842062981,0.0016981240915656835,0.001416267012726065,2.2452052,0.0022452052
2004-04-23,2602526.713975183,2098178.7050151806,0.0012707649970581949,0.0010245013208081937,2.0971274,0.0020971274
2004-04-24,2558326.6014473992,2422134.7648851336,0.0012491829108629878,0.0011826829906665692,2.413262,0.0024132620000000002
2004-04-25,3061531.7796520996,2783994.2186804786,0.0014948885642832518,0.0013593721770900774,2.2563329,0.0022563328999999997
2004-04-26,2741785.313874529,2806221.19409259,0.0013387623602902974,0.0013702251924280224,2.354173,0.0023541729999999998
2004-04-27,3540719.4283420215,3692405.1310023307,0.0017288669083701277,0.0018029321928722318,2.6314144,0.0026314144
2004-04-28,4255906.917914549,4360149.115801709,0.0020780795497629635,0.002128979060450053,2.5424488,0.0025424488
2004-04-29,4025472.2822364145,4046725.94463015,0.0019655626378107492,0.0019759404026514406,2.5029175,0.0025029175
2004-04-30,2133777.909193307,2213806.9853098663,0.0010418837447232945,0.001080960442045833,3.2574062,0.0032574062
2004-05-01,2598706.5035352497,2781301.3516375436,0.0012688996599293212,0.0013580573006042693,2.6235802,0.0026235802
2004-05-02,3170684.862532712,3375723.1263362477,0.0015481859680335508,0.0016483023077813708,2.9184923,0.0029184923
2004-05-03,3176816.9010885884,3370065.557192871,0.0015511801274846622,0.0016455398228480815,3.168152,0.003168152
2004-05-04,4344144.932882829,4571923.675933277,0.0021211645180091937,0.0022323846073892956,3.1228688,0.0031228688
2004-05-05,4590276.501948959,4771343.227553612,0.002241345948217265,0.002329757435328912,3.0120566,0.0030120566
2004-05-06,4484055.59407408,4603235.707461429,0.002189480270543984,0.0022476736852839008,3.0352857,0.0030352857000000002
2004-05-07,4635528.473086657,4608307.146004941,0.002263441637249344,0.0022501499736352253,3.3258731,0.0033258731
2004-05-08,4966831.806920738,4781225.182837372,0.0024252108432230167,0.0023345826088073105,2.3521895,0.0023521895000000004
2004-05-09,4898810.076984462,4520872.42645735,0.0023919971079025696,0.002207457239481128,2.3619583,0.0023619583
2004-05-11,4782194.032340207,4061797.5536626643,0.002335055679853617,0.001983299586749348,2.218866,0.002218866
2004-05-12,4984340.037086898,4024987.90894188,0.002433759783733837,0.0019653261274130275,2.372873,0.0023728729999999997
