time,spatial_ref,ET_m_day
2004-05-31,0,2.095125
2004-06-01,0,2.995191
2004-06-02,0,3.0196235
2004-06-03,0,3.449166
2004-06-04,0,2.9852169
2004-06-05,0,2.9419062
2004-06-06,0,3.0163133
2004-06-07,0,2.988122
2004-06-08,0,2.9141886
2004-06-09,0,3.922456
2004-06-10,0,4.0850925
2004-06-11,0,4.038712
2004-06-12,0,3.931467
2004-06-13,0,3.707124
2004-06-15,0,4.207951
2004-06-16,0,3.5861344
2004-06-17,0,4.499455
2004-06-18,0,4.5388346
2004-06-19,0,4.5847044
2004-06-20,0,4.500325
2004-06-21,0,4.242957
2004-06-22,0,4.959766
2004-06-23,0,4.9332767
2004-06-24,0,5.0610623
2004-06-25,0,5.013582
2004-06-26,0,4.857048
2004-06-27,0,4.9397616
2004-06-28,0,4.9776506
2004-06-30,0,4.5671883
2004-07-01,0,4.580171
2004-07-02,0,5.0696406
2004-07-03,0,6.366988
2004-07-04,0,6.1898193
2004-07-05,0,6.6375604
2004-07-06,0,6.0565634
2004-07-07,0,6.9601703
2004-07-08,0,6.880699
2004-07-09,0,6.7408395
2004-07-10,0,6.6878214
2004-07-12,0,4.7728252
2004-07-13,0,4.2954826
2004-07-14,0,4.505024
2004-07-15,0,4.6123514
2004-07-16,0,4.58445
2004-07-17,0,4.429348
2004-07-18,0,4.709358
2004-07-20,0,5.241583
2004-07-21,0,5.32635
2004-07-22,0,4.9012165
2004-07-23,0,5.100358
2004-07-24,0,5.3080792
2004-07-25,0,5.6247783
2004-07-26,0,4.8053036
2004-07-27,0,4.745046
2004-07-28,0,4.5287795
2004-07-29,0,4.4156404
2004-07-30,0,4.5493717
2004-07-31,0,4.741837
2004-08-01,0,5.0046105
2004-08-02,0,4.9792356
2004-08-03,0,5.0104856
2004-08-04,0,4.9902034
2004-08-05,0,5.2404723
2004-08-06,0,5.1041026
2004-08-07,0,4.781536
2004-08-08,0,4.7762218
2004-08-09,0,4.5978627
2004-08-10,0,4.221693
2004-08-11,0,4.335915
2004-08-12,0,5.04985
2004-08-13,0,5.177108
2004-08-14,0,5.382141
2004-08-15,0,5.5262427
2004-08-16,0,5.5509043
2004-08-17,0,5.630214
2004-08-18,0,5.68474
2004-08-19,0,5.6542053
2004-08-20,0,4.081326
2004-08-21,0,3.9242482
2004-08-22,0,4.1328416
2004-08-23,0,4.0378385
2004-08-24,0,4.2259316
2004-08-25,0,3.8468692
2004-08-26,0,3.809005
2004-08-27,0,3.6618595
2004-08-28,0,4.2771225
2004-08-29,0,4.0826993
2004-08-30,0,4.636471
2004-08-31,0,4.4987664
2004-09-01,0,4.6113772
2004-09-02,0,4.59325
2004-09-03,0,4.414408
2004-09-04,0,4.76386
2004-09-05,0,2.4484296
2004-09-06,0,2.4034758
2004-09-07,0,2.3863392
2004-09-08,0,2.2926333
2004-09-09,0,2.2861075
2004-09-10,0,2.0639842
2004-09-11,0,2.1254582
2004-09-12,0,2.195389
2004-09-13,0,0.9556047
2004-09-14,0,0.99751943
2004-09-16,0,1.1500537
2004-09-17,0,1.1801176
2004-09-18,0,1.0449919
2004-09-19,0,1.033703
2004-09-20,0,1.1892312
2004-09-21,0,1.7375616
2004-09-22,0,1.7181891
2004-09-23,0,1.631207
2004-09-24,0,1.4712285
2004-09-25,0,1.5322123
2004-09-26,0,1.4942858
2004-09-27,0,1.4709035
2004-09-28,0,1.4412774
2004-09-29,0,0.65430224
2004-09-30,0,0.6376346
2004-10-01,0,0.6599933
