time,spatial_ref,ET_m3_day
2020-07-04,0,6258045.0
2020-07-05,0,5539256.0
2020-07-06,0,5461769.0
2020-07-07,0,5466801.0
2020-07-08,0,5409768.0
2020-07-09,0,5718085.5
2020-07-10,0,5961830.0
2020-07-11,0,5950794.5
2020-07-12,0,5565325.5
2020-07-13,0,5505924.5
2020-07-14,0,5525175.0
2020-07-15,0,5573041.0
2020-07-16,0,5857108.0
2020-07-17,0,5664713.5
2020-07-18,0,5735205.5
2020-07-19,0,4886024.5
2020-07-20,0,4635845.5
2020-07-21,0,5289528.5
2020-07-22,0,4792122.0
2020-07-23,0,4329619.0
2020-07-24,0,4862756.5
2020-07-25,0,4942554.0
2020-07-26,0,4578733.5
2020-07-27,0,4207817.5
2020-07-28,0,4493985.0
2020-07-29,0,4510388.5
2020-07-30,0,4800511.5
2020-07-31,0,4760008.0
2020-08-01,0,4407286.0
2020-08-02,0,4691451.0
2020-08-03,0,4375310.0
2020-08-04,0,5235573.5
2020-08-05,0,4954026.0
2020-08-06,0,4947111.5
2020-08-07,0,4999511.0
2020-08-08,0,5055498.0
2020-08-09,0,5157332.0
2020-08-10,0,4952263.5
2020-08-11,0,4791487.0
2020-08-12,0,4655916.5
2020-08-13,0,4999346.5
2020-08-14,0,5025699.0
2020-08-15,0,5064884.0
2020-08-16,0,5265020.5
2020-08-17,0,5010876.0
2020-08-18,0,5027361.5
2020-08-19,0,4970394.5
2020-08-20,0,3257741.2
2020-08-21,0,3246381.2
2020-08-22,0,3294695.5
2020-08-23,0,3545346.2
2020-08-24,0,3463171.2
2020-08-25,0,3610717.2
2020-08-26,0,3503485.5
2020-08-27,0,3405895.0
2020-08-28,0,3568641.2
2020-08-29,0,3585885.2
2020-08-30,0,3082806.0
2020-08-31,0,3527134.2
2020-09-01,0,3415990.2
2020-09-02,0,3535814.5
2020-09-03,0,3673666.0
2020-09-04,0,3469450.2
2020-09-05,0,2904930.0
2020-09-06,0,2960977.0
2020-09-07,0,3009134.2
2020-09-08,0,2965956.0
2020-09-09,0,2481530.2
2020-09-10,0,2445097.2
2020-09-11,0,2661631.0
2020-09-12,0,2103546.2
2020-09-13,0,2161000.0
2020-09-14,0,2055327.1
2020-09-15,0,1918174.0
2020-09-16,0,1968910.0
2020-09-17,0,2132035.2
2020-09-18,0,2000255.1
2020-09-19,0,1947227.0
2020-09-20,0,2123533.2
2020-09-21,0,2321369.2
2020-09-22,0,2460855.0
2020-09-23,0,2488272.0
2020-09-24,0,2259428.0
2020-09-25,0,2250272.0
2020-09-26,0,1939139.1
2020-09-27,0,2419847.0
2020-09-28,0,1992284.0
2020-09-29,0,20840.998
2020-09-30,0,20163.002
2020-10-01,0,25544.002
2020-10-02,0,22396.0
2020-10-03,0,23132.0
2020-10-04,0,23470.002
2020-10-05,0,24815.002
2020-10-06,0,24569.002
2020-10-07,0,691719.0
2020-10-08,0,708895.0
